City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,nova sintra,14.8667,-24.7167,22.6,71,63,3.68,CV,2023-12-10
170,usogorsk,63.4106,48.6872,-27.96,100,40,1.58,RU,2023-12-10
171,codajas,-3.8367,-62.0569,24.66,90,98,1.04,BR,2023-12-10
172,kabalo,-6.05,26.9167,20.35,98,64,0.31,CD,2023-12-10
173,new norfolk,-42.7826,147.0587,20.95,26,5,1.31,AU,2023-12-10
174,kokopo,-4.352,152.2633,28.29,76,100,4.19,PG,2023-12-10
175,sinan,34.8262,126.1086,14.06,95,46,4.2,KR,2023-12-10
176,la rambla,37.6076,-4.7396,12.88,83,100,1.3,ES,2023-12-10
177,lisakovsk,52.5369,62.4936,-27.55,100,8,1.76,KZ,2023-12-10
178,semenivka,52.1783,32.5818,-7.3,96,100,2.46,UA,2023-12-10
179,port saint john's,-31.6229,29.5448,19.13,87,100,5.06,ZA,2023-12-10
180,las lomitas,-24.7096,-60.593,26.77,70,70,3.65,AR,2023-12-10
181,miyang,24.4042,103.4428,17.15,70,15,3.48,CN,2023-12-10
182,san pedro,14.35,121.0167,30.75,66,20,3.13,PH,2023-12-10
183,monduli,-3.3,36.45,17.15,84,78,2.75,TZ,2023-12-10
184,susuman,62.7833,148.1667,-13.34,93,100,0.45,RU,2023-12-10
185,lazaro cardenas,17.9583,-102.2,25.54,78,2,1.19,MX,2023-12-10
186,richards bay,-28.783,32.0377,20.97,94,100,5.49,ZA,2023-12-10
187,kailua-kona,19.6406,-155.9956,27.9,74,20,4.63,US,2023-12-10
188,egilsstadir,65.2653,-14.3948,-3.05,93,40,0.0,IS,2023-12-10
189,argo,37.6333,22.7333,4.29,77,7,1.26,GR,2023-12-10
190,intendente alvear,-35.2338,-63.592,17.86,69,0,3.73,AR,2023-12-10
191,colonia,50.9333,6.95,11.01,70,20,9.26,DE,2023-12-10
192,jora,26.3333,77.8167,16.06,59,0,0.56,IN,2023-12-10
193,alvear,-29.0968,-56.5504,21.09,70,97,4.76,AR,2023-12-10
194,dubbo,-32.25,148.6167,36.07,34,11,5.66,AU,2023-12-10
195,tucuma,-0.1833,-50.05,26.13,83,92,2.69,BR,2023-12-10
196,iguape,-24.7081,-47.5553,21.84,82,100,4.24,BR,2023-12-10
197,tazovsky,67.4667,78.7,-38.19,100,56,1.71,RU,2023-12-10
198,mata-utu,-13.2816,-176.1745,28.51,68,93,2.1,WF,2023-12-10
199,lihue,21.9789,-159.3672,26.58,69,0,3.6,US,2023-12-10
200,wailua homesteads,22.0669,-159.378,26.24,76,0,3.6,US,2023-12-10
201,sur,22.5667,59.5289,21.81,53,4,1.64,OM,2023-12-10
202,luderitz,-26.6481,15.1594,14.96,82,0,8.94,NA,2023-12-10
203,hithadhoo,-0.6,73.0833,27.94,77,100,2.23,MV,2023-12-10
204,bikenibeu village,1.3673,173.1241,30.98,74,40,2.57,KI,2023-12-10
205,ust-tsilma,65.441,52.1498,-32.44,100,40,0.89,RU,2023-12-10
206,urengoy,65.9667,78.3667,-40.15,100,57,1.38,RU,2023-12-10
207,arvayheer,46.2639,102.775,-16.07,64,100,2.07,MN,2023-12-10
208,las vegas,36.175,-115.1372,11.2,19,40,8.94,US,2023-12-10
209,jamestown,42.097,-79.2353,14.77,79,100,4.63,US,2023-12-10
210,bontang,0.1333,117.5,25.71,90,100,3.2,ID,2023-12-10
211,piti village,13.4626,144.6933,30.73,73,75,5.14,GU,2023-12-10
212,walvis bay,-22.9575,14.5053,15.61,88,0,2.06,NA,2023-12-10
213,winona,43.9666,-91.7668,0.89,83,100,6.69,US,2023-12-10
214,la passe,45.5549,-0.8967,11.13,89,100,4.05,FR,2023-12-10
215,caleta de carquin,-11.0925,-77.6267,19.91,85,100,4.06,PE,2023-12-10
216,port mathurin,-19.6833,63.4167,26.23,76,22,4.86,MU,2023-12-10
217,uturoa,-16.7333,-151.4333,27.1,80,65,8.25,PF,2023-12-10
